app_elapsed_ms,error_type,ok,post_delay_ms,pre_delay_ms,returncode,run,rx_bytes,status_code,total_elapsed_ms,tx_bytes
545.646987,,True,132.867072,145.646513,,1,1102,200,825.47947,0
,EmulatedNetworkError,False,,,,2,,,825.287531,0
605.684158,,True,126.867643,99.569321,,3,1102,200,833.259141,0
,EmulatedNetworkError,False,,,,4,,,908.665505,0
503.74172,,True,88.337235,96.862158,,5,1102,200,689.877623,0
499.29545,,True,138.388355,126.946994,,6,1102,200,765.34218,0
474.487904,,True,71.886368,102.915138,,7,1102,200,650.404469,0
609.81084,,True,72.360387,139.891965,,8,1102,200,822.825573,0
,EmulatedTimeout,False,,,,9,,,9064.239059,0
888.746931,,True,148.750892,139.247664,,10,1102,200,1178.262528,0
538.070413,,True,161.54316,118.926427,,11,1102,200,819.312908,0
595.563818,,True,191.201999,144.581308,,12,1102,200,932.233743,0
552.913682,,True,82.976368,73.399406,,13,1102,200,710.385739,0
522.403687,,True,138.614431,111.508909,,14,1102,200,773.370318,0
587.261213,,True,94.916344,196.155952,,15,1102,200,879.525541,0
467.085177,,True,101.711272,152.85231,,16,1102,200,722.812712,0
611.464536,,True,186.675357,105.229834,,17,1102,200,905.077256,0
,EmulatedTimeout,False,,,,18,,,8790.419607,0
,EmulatedTimeout,False,,,,19,,,8720.984064,0
569.188078,,True,125.872953,165.21237,,20,1102,200,862.022451,0
,EmulatedNetworkError,False,,,,21,,,0.044944,0
,EmulatedNetworkError,False,,,,22,,,0.007949,0
,EmulatedNetworkError,False,,,,23,,,0.007051,0
,EmulatedNetworkError,False,,,,24,,,0.005294,0
,EmulatedNetworkError,False,,,,25,,,0.004521,0
,EmulatedNetworkError,False,,,,26,,,0.004478,0
,EmulatedNetworkError,False,,,,27,,,0.004988,0
,EmulatedNetworkError,False,,,,28,,,0.004183,0
,EmulatedNetworkError,False,,,,29,,,0.004286,0
,EmulatedNetworkError,False,,,,30,,,0.00299,0
,EmulatedNetworkError,False,,,,31,,,0.002386,0
,EmulatedNetworkError,False,,,,32,,,0.002334,0
,EmulatedNetworkError,False,,,,33,,,0.002649,0
,EmulatedNetworkError,False,,,,34,,,0.029422,0
,EmulatedNetworkError,False,,,,35,,,0.004333,0
,EmulatedNetworkError,False,,,,36,,,0.004121,0
,EmulatedNetworkError,False,,,,37,,,0.004465,0
,EmulatedNetworkError,False,,,,38,,,0.003972,0
,EmulatedNetworkError,False,,,,39,,,0.004129,0
,EmulatedNetworkError,False,,,,40,,,0.004137,0
,EmulatedNetworkError,False,,,,41,,,0.004142,0
,EmulatedNetworkError,False,,,,42,,,0.00354,0
,EmulatedNetworkError,False,,,,43,,,0.002306,0
,EmulatedNetworkError,False,,,,44,,,0.00894,0
,EmulatedNetworkError,False,,,,45,,,0.002271,0
,EmulatedNetworkError,False,,,,46,,,0.002241,0
,EmulatedNetworkError,False,,,,47,,,0.002138,0
,EmulatedNetworkError,False,,,,48,,,0.002136,0
,EmulatedNetworkError,False,,,,49,,,0.002186,0
,EmulatedNetworkError,False,,,,50,,,0.002441,0
,EmulatedNetworkError,False,,,,51,,,0.002162,0
,EmulatedNetworkError,False,,,,52,,,0.0051,0
,EmulatedNetworkError,False,,,,53,,,0.002277,0
,EmulatedNetworkError,False,,,,54,,,0.002804,0
,EmulatedNetworkError,False,,,,55,,,0.002171,0
,EmulatedNetworkError,False,,,,56,,,0.002309,0
,EmulatedNetworkError,False,,,,57,,,0.002102,0
,EmulatedNetworkError,False,,,,58,,,0.002291,0
,EmulatedNetworkError,False,,,,59,,,0.00208,0
,EmulatedNetworkError,False,,,,60,,,0.002092,0
,EmulatedNetworkError,False,,,,61,,,0.002108,0
,EmulatedNetworkError,False,,,,62,,,0.002106,0
,EmulatedNetworkError,False,,,,63,,,0.002172,0
,EmulatedNetworkError,False,,,,64,,,0.005277,0
,EmulatedNetworkError,False,,,,65,,,0.002296,0
,EmulatedNetworkError,False,,,,66,,,0.00233,0
,EmulatedNetworkError,False,,,,67,,,0.00215,0
,EmulatedNetworkError,False,,,,68,,,0.002154,0
,EmulatedNetworkError,False,,,,69,,,0.002217,0
,EmulatedNetworkError,False,,,,70,,,0.002666,0
,EmulatedNetworkError,False,,,,71,,,0.002291,0
,EmulatedNetworkError,False,,,,72,,,0.002123,0
,EmulatedNetworkError,False,,,,73,,,0.002203,0
,EmulatedNetworkError,False,,,,74,,,0.005113,0
,EmulatedNetworkError,False,,,,75,,,0.002155,0
,EmulatedNetworkError,False,,,,76,,,0.002086,0
,EmulatedNetworkError,False,,,,77,,,0.002047,0
,EmulatedNetworkError,False,,,,78,,,0.002459,0
,EmulatedNetworkError,False,,,,79,,,0.002177,0
,EmulatedNetworkError,False,,,,80,,,0.002077,0
,EmulatedNetworkError,False,,,,81,,,0.002312,0
,EmulatedNetworkError,False,,,,82,,,0.002244,0
,EmulatedNetworkError,False,,,,83,,,0.002349,0
,EmulatedNetworkError,False,,,,84,,,0.004917,0
,EmulatedNetworkError,False,,,,85,,,0.002155,0
,EmulatedNetworkError,False,,,,86,,,0.002508,0
,EmulatedNetworkError,False,,,,87,,,0.002193,0
,EmulatedNetworkError,False,,,,88,,,0.002093,0
,EmulatedNetworkError,False,,,,89,,,0.002193,0
,EmulatedNetworkError,False,,,,90,,,0.002238,0
,EmulatedNetworkError,False,,,,91,,,0.002198,0
,EmulatedNetworkError,False,,,,92,,,0.002056,0
,EmulatedNetworkError,False,,,,93,,,0.002115,0
,EmulatedNetworkError,False,,,,94,,,0.00689,0
,EmulatedNetworkError,False,,,,95,,,0.005384,0
,EmulatedNetworkError,False,,,,96,,,0.002472,0
,EmulatedNetworkError,False,,,,97,,,0.002248,0
,EmulatedNetworkError,False,,,,98,,,0.002221,0
,EmulatedNetworkError,False,,,,99,,,0.00217,0
,EmulatedNetworkError,False,,,,100,,,0.002086,0
