trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 23:16:56,node-t-8821,426f5b4e5cb04c93a6d32ece764cf4d7,b348e3cfed80379d77173c9550f3d2c600fc023c95fd626bc33911db6a291c55,True,B0FD4F1C20904E4CD29CB60240F7EC9CC675D86750C3BBDCB393FCF4F78F4BA5,11356.281,4701.184,16057.465,5228.087,117304862,0,1200000,164123,2026-03-15T14:16:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-15 23:18:22,node-t-8821,8c0ef3c77a874f8281e25f1937a3191c,5ec12724243d64be042702c1f68ed348db09b2ba4eb5bdb932b1c901e1392e87,False,,59026.993,4680.285,63707.278,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,88.701,65.633,False,False,True,False,post,emulated timeout
3,2026-03-15 23:19:01,node-t-8821,c6c173f59147474abe2521e747618a22,03c1ae3801312120976f4ac2de22e285d4ca3128ac507345dc945c196afec0e3,True,9D1DBD95849C46745180D9A759D8999D65797EA7873C10B0DD21FAA5D9BDFC6D,11636.522,4697.565,16334.087,5569.933,117305064,0,1200000,164123,2026-03-15T14:18:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-15 23:19:39,node-t-8821,fdf58f5ba923458488919ebba57795b0,0da2e986daad545832ad45dba7d54962b34b5f5fca5e3732b9afad5e69cc08f2,False,,11191.624,4676.949,15868.574,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,380,86.337,109.023,False,False,False,True,post,emulated packet loss / connection failure
5,2026-03-15 23:20:17,node-t-8821,557e3368c6924d6486bbb12929d3dad5,04948674354a58281bc98e6a7c9480722666188471d4d8bbf213dc6ffe196def,True,2AFA37042013501102E9DF5194A2BE3737FD55EB401EDAF6CA27CA1147F1FFF1,11405.516,4759.392,16164.908,5346.47,117305188,0,1200000,164123,2026-03-15T14:20:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,71.534,49.216,False,False,False,False,,
6,2026-03-15 23:20:56,node-t-8821,b18b0af6b318447b8f69d4c2fb757f83,cc661ca8459e690b3f2d6183b3229a8627f2c739b311e28be2565df15bb6279d,True,91A93F43D1FCA5626604BBB4CFDB3509DC86E727BCA616AEF69C2478B951476F,11786.989,4747.142,16534.131,5734.658,117305251,0,1200000,164123,2026-03-15T14:20:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-15 23:21:35,node-t-8821,e40de694a014440884e59c74e4e53028,33f7aacaedba57814db91918564ccd858391517445a12c0f473e69c95ebded74,True,A5CE3A826C942F7497D08748D8BC51D3BA9A12E697E41F1FD7EBB6632417362E,11752.955,4706.997,16459.952,5701.181,117305314,0,1200000,164123,2026-03-15T14:21:28Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-15 23:22:13,node-t-8821,7a3298b8c52f4c9f9d070f63bef5e730,afbbdfc83a1dd5b22af9ba1d5473111c9ad6532abfaae82521993131509e9b5f,True,68068786C962142A0E3AAC3E4CA258DEA8A1A7ECB62CF6F0208577D6DABB9816,11162.691,4690.224,15852.915,5117.646,117305377,0,1200000,164123,2026-03-15T14:22:06Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-15 23:22:51,node-t-8821,1c958f83b38f45d3a710bff40387350c,daf498889ed02b6c4556278f36546b00f7c272a034f66c3c4f17a379a64ed40c,True,1BC095E30EB0F91B50A9790EC8BFAE04B7EF0EFC13E5BB01810F1302B5D77AD3,11539.909,4694.738,16234.647,5409.914,117305439,0,1200000,164123,2026-03-15T14:22:45Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-15 23:23:30,node-t-8821,6b51ea85fb8f40a79daa62cb05e3d01e,d969d8f2bc868971c6c92e0a7b2977b3ca89362609da74dbe564062b711d7ede,True,2DC6F7E4906DDC8A8308F176978B16055C3F594BFA3FB0A61902FE9FDE545F80,11830.631,4707.169,16537.8,5727.624,117305502,0,1200000,164123,2026-03-15T14:23:23Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.436,86.143,False,False,False,False,,
11,2026-03-15 23:24:09,node-t-8821,76e6fd306ff442e897be9b6f763799f7,bad3ebfaac3884047a5a46f04c06fb17359dda5b68290075efcc41f9e8d6c1d6,True,441D0C3890E129AF7C60446943884B5446E15F2AED8259615BC85C08A843ECDB,11470.132,4696.819,16166.951,5350.227,117305565,0,1200000,164123,2026-03-15T14:24:02Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,85.018,93.96,False,False,False,False,,
12,2026-03-15 23:24:47,node-t-8821,cac3d6a43dae4b08a6f5cdcb8b713961,8c2d542b5213e96bb00dc673d2f7fe366e46d30ad79a7639b5498d8b519f61e2,True,A1EFA15BF4CC7126F997FFA108AC6E99F980DE5650649BE7BE5E48AF354B785F,11595.976,4694.581,16290.557,5494.068,117305627,0,1200000,164123,2026-03-15T14:24:40Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,100.696,112.085,False,False,False,False,,
13,2026-03-15 23:25:26,node-t-8821,525051d23f014e029ff9a68b49033aea,7fbb9047c0b73bd9cb69e40f16004d6a3aafbf7c07bff812d0ab65d347d034f6,True,2D6096AFBD53B3FA907778FE5F12B10E6605381B57AA108631119CB5809F840C,11263.569,4749.501,16013.07,5251.231,117305690,0,1200000,164123,2026-03-15T14:25:19Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,57.195,45.947,False,False,False,False,,
14,2026-03-15 23:26:04,node-t-8821,2e7c4b4f27654488b457df9e5e0b89c3,24fbe7bc0ccb28d4e9c32a7dd842303ed66ad80b08e585a33a98b17eef565daa,True,65290D055BA9DC1A762FFE9350C34F59A87AFBAC80771BA8B9E2659F9E09D048,11511.481,4692.97,16204.451,5417.018,117305753,0,1200000,164123,2026-03-15T14:25:58Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,80.485,79.948,False,False,False,False,,
15,2026-03-15 23:26:43,node-t-8821,e176ca005b3945ebba5cb394ddac9d7f,178dc8a7ecdcf3fcbcb5a41a5539f5a527ed944df519a2b94a6ecb3c10fd8b2d,True,03666E0EADD7994101BBAC571BFC3ED576A4206F363AEC4CB010EE18B07418C4,12285.439,4696.102,16981.542,6148.328,117305816,0,1200000,164123,2026-03-15T14:26:36Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,132.213,53.244,False,False,False,False,,
16,2026-03-15 23:27:22,node-t-8821,534ef1ab9bf64a358b793f4bdbba3689,683b5c63fa7c41310138418b9dce8eb6ccc7264a8154388a5fd6a8b07f094295,True,42353213FEA29B096C49641EE0195BE12CE9C478A376A5C15585C207742987D3,11309.005,4727.65,16036.654,5202.467,117305879,0,1200000,164123,2026-03-15T14:27:15Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,105.75,57.396,False,False,False,False,,
17,2026-03-15 23:28:01,node-t-8821,fd098a8e19ea40b6a7f0b031ff6eefe4,11e799509f68a44d903bc7492142bd1a7f0149372d023d2a6931cf1c9dad76b7,True,38C6DD2CE943792D55F738F6C2C37C5DE3729239BF533ADFBE4A08323DF36B86,11874.445,4692.593,16567.038,5723.493,117305942,0,1200000,164123,2026-03-15T14:27:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,76.647,109.319,False,False,False,False,,
18,2026-03-15 23:28:39,node-t-8821,91dc2da0278142abb47b48eb7b9ada8f,0ff4cf78780fb25f52a2c61bffae8dfed8c6ee4580448ef4941e581d8ecf27ef,True,5CC819D05F48769212547B3E5BF3D21CEDA82805C3483845FC7BB017D15AFEA3,11144.503,4694.756,15839.259,5036.315,117306004,0,1200000,164123,2026-03-15T14:28:32Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,112.384,72.477,False,False,False,False,,
19,2026-03-15 23:29:17,node-t-8821,4cd681e7cafe481593deae51a6c90357,7e3bea5c4a3061a3518685c1fb91555b1a9a940a7affc4f843465744e1795ee2,True,1AAD5C75D5F5C5AD423859BED07559C702F1E0987447317F2D62F46435C2062B,11287.867,4698.046,15985.913,5276.54,117306067,0,1200000,164123,2026-03-15T14:29:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,45.632,37.987,False,False,False,False,,
20,2026-03-15 23:29:56,node-t-8821,7b08b0669707402f8de0764e5bcfbd9c,6be5336590bbb25ce81266b5d412a97cae83964a42fa455fe21f2a1c4a27efdd,True,BA89964C93AB76C76EC72C14F316A4565533A48B4AE05CDF0E4184E62D1CDC11,11753.023,4694.911,16447.934,5608.418,117306130,0,1200000,164123,2026-03-15T14:29:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,113.303,72.162,False,False,False,False,,
21,2026-03-15 23:30:34,node-t-8821,d65ced411a734a14a6eb01c04e2a8ea1,81f317ab4900a343f5c51a2bab06617b6b37adf1a6219a00856d256bd41c480c,True,D1F96E08B759C2568E5DBD1A7F20057D8DAFFDDF6FB32542228FF4F0CA77B9BA,11253.678,4699.572,15953.25,5228.249,117306192,0,1200000,164123,2026-03-15T14:30:27Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,71.951,32.075,False,False,False,False,,
22,2026-03-15 23:31:13,node-t-8821,de26534d09c74935b1b454e32ffc0dd0,e521b2f7fcd5a208375012cb33770c20dd89831f7b76f75eb9c01541eac58335,True,5712A31C015CB49815E245D39964B84CCB83DB19DA934FD9FA46C2033E6B59CE,11615.606,4745.36,16360.966,5494.534,117306255,0,1200000,164123,2026-03-15T14:31:06Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,102.013,91.929,False,False,False,False,,
